year,stat,player,team,value,link
1950,Statistic,Name(s),Team(s),#,
1950,Base on Balls,Eddie Yost,Washington,141,https://www.baseball-almanac.com/hitting/hiwalk4.shtml
1950,Batting Average,Billy Goodman,Boston,.354,https://www.baseball-almanac.com/hitting/hibavg3.shtml
1950,Doubles,George Kell,Detroit,56,https://www.baseball-almanac.com/hitting/hi2b3.shtml
1950,Hits,George Kell,Detroit,218,https://www.baseball-almanac.com/hitting/hihits4.shtml
1950,Home Runs,Al Rosen,Cleveland,37,https://www.baseball-almanac.com/hitting/hihr5.shtml
1950,On Base Percentage,Larry Doby,Cleveland,.442,https://www.baseball-almanac.com/hitting/hiobp4.shtml
1950,RBI,Walt Dropo,Boston,144,https://www.baseball-almanac.com/hitting/hirbi5.shtml
1950,Runs,Dom DiMaggio,Boston,131,https://www.baseball-almanac.com/hitting/hiruns2.shtml
1950,Slugging Average,Joe DiMaggio,New York,.585,https://www.baseball-almanac.com/hitting/hislug4.shtml
1950,Stolen Bases,Dom DiMaggio,Boston,15,https://www.baseball-almanac.com/hitting/hisb4.shtml
1950,Total Bases,Walt Dropo,Boston,326,https://www.baseball-almanac.com/hitting/hitotb4.shtml
1950,Triples,Dom DiMaggio,Boston,11,https://www.baseball-almanac.com/hitting/hitrip4.shtml
1950,Statistic,Name(s),Team(s),#,
1950,Statistic,Name(s),Team(s),#,
1950,Complete Games,Ned Garver,St. Louis,22,https://www.baseball-almanac.com/pitching/picomg4.shtml
1950,ERA,Early Wynn,Cleveland,3.20,https://www.baseball-almanac.com/pitching/piera4.shtml
1950,Games,Mickey Harris,Washington,53,https://www.baseball-almanac.com/pitching/pigamp4.shtml
1950,Saves,Mickey Harris,Washington,15,https://www.baseball-almanac.com/pitching/pisave4.shtml
1950,Shutouts,Art Houtteman,Detroit,4,https://www.baseball-almanac.com/pitching/pishut4.shtml
1950,Strikeouts,Bob Lemon,Cleveland,170,https://www.baseball-almanac.com/pitching/pistrik4.shtml
1950,Winning Percentage,Vic Raschi,New York,.724,https://www.baseball-almanac.com/pitching/piwper4.shtml
1950,Wins,Bob Lemon,Cleveland,23,https://www.baseball-almanac.com/pitching/piwins4.shtml
1950,Statistic,Name(s),Team(s),#,
1950,Team [Click for roster],Wins,Losses,WP,
1950,New York Yankees,98,56,.636,https://www.baseball-almanac.com/teamstats/roster.php?y=1950&t=NYA
1950,Detroit Tigers,95,59,.617,https://www.baseball-almanac.com/teamstats/roster.php?y=1950&t=DET
1950,Boston Red Sox,94,60,.610,https://www.baseball-almanac.com/teamstats/roster.php?y=1950&t=BOS
1950,Cleveland Indians,92,62,.597,https://www.baseball-almanac.com/teamstats/roster.php?y=1950&t=CLE
1950,Washington Senators,67,87,.435,https://www.baseball-almanac.com/teamstats/roster.php?y=1950&t=WS1
1950,Chicago White Sox,60,94,.390,https://www.baseball-almanac.com/teamstats/roster.php?y=1950&t=CHA
1950,St. Louis Browns,58,96,.377,https://www.baseball-almanac.com/teamstats/roster.php?y=1950&t=SLA
1950,Philadelphia Athletics,52,102,.338,https://www.baseball-almanac.com/teamstats/roster.php?y=1950&t=PHA
1951,Statistic,Name(s),Team(s),#,
1951,Base on Balls,Ted Williams,Boston,144,https://www.baseball-almanac.com/hitting/hiwalk4.shtml
1951,Batting Average,Ferris Fain,Philadelphia,.344,https://www.baseball-almanac.com/hitting/hibavg3.shtml
1951,Doubles,George Kell,Detroit,36,https://www.baseball-almanac.com/hitting/hi2b3.shtml
1951,Hits,George Kell,Detroit,191,https://www.baseball-almanac.com/hitting/hihits4.shtml
1951,Home Runs,Gus Zernial,Chicago,33,https://www.baseball-almanac.com/hitting/hihr5.shtml
1951,On Base Percentage,Ted Williams,Boston,.464,https://www.baseball-almanac.com/hitting/hiobp4.shtml
1951,RBI,Gus Zernial,Chicago,129,https://www.baseball-almanac.com/hitting/hirbi5.shtml
1951,Runs,Dom DiMaggio,Boston,113,https://www.baseball-almanac.com/hitting/hiruns2.shtml
1951,Slugging Average,Ted Williams,Boston,.556,https://www.baseball-almanac.com/hitting/hislug4.shtml
1951,Stolen Bases,Minnie Minoso,Cleveland,31,https://www.baseball-almanac.com/hitting/hisb4.shtml
1951,Total Bases,Ted Williams,Boston,295,https://www.baseball-almanac.com/hitting/hitotb4.shtml
1951,Triples,Minnie Minoso,Cleveland,14,https://www.baseball-almanac.com/hitting/hitrip4.shtml
1951,Statistic,Name(s),Team(s),#,
1951,Statistic,Name(s),Team(s),#,
1951,Complete Games,Ned Garver,St. Louis,24,https://www.baseball-almanac.com/pitching/picomg4.shtml
1951,ERA,Saul Rogovin,Detroit,2.78,https://www.baseball-almanac.com/pitching/piera4.shtml
1951,Games,Ellis Kinder,Boston,63,https://www.baseball-almanac.com/pitching/pigamp4.shtml
1951,Saves,Ellis Kinder,Boston,14,https://www.baseball-almanac.com/pitching/pisave4.shtml
1951,Shutouts,Allie Reynolds,New York,7,https://www.baseball-almanac.com/pitching/pishut4.shtml
1951,Strikeouts,Vic Raschi,New York,164,https://www.baseball-almanac.com/pitching/pistrik4.shtml
1951,Winning Percentage,Bob Feller,Cleveland,.733,https://www.baseball-almanac.com/pitching/piwper4.shtml
1951,Wins,Bob Feller,Cleveland,22,https://www.baseball-almanac.com/pitching/piwins4.shtml
1951,Statistic,Name(s),Team(s),#,
1951,Team [Click for roster],Wins,Losses,WP,
1951,New York Yankees,98,56,.636,https://www.baseball-almanac.com/teamstats/roster.php?y=1951&t=NYA
1951,Cleveland Indians,93,61,.604,https://www.baseball-almanac.com/teamstats/roster.php?y=1951&t=CLE
1951,Boston Red Sox,87,67,.565,https://www.baseball-almanac.com/teamstats/roster.php?y=1951&t=BOS
1951,Chicago White Sox,81,73,.526,https://www.baseball-almanac.com/teamstats/roster.php?y=1951&t=CHA
1951,Detroit Tigers,73,81,.474,https://www.baseball-almanac.com/teamstats/roster.php?y=1951&t=DET
1951,Philadelphia Athletics,70,84,.455,https://www.baseball-almanac.com/teamstats/roster.php?y=1951&t=PHA
1951,Washington Senators,62,92,.403,https://www.baseball-almanac.com/teamstats/roster.php?y=1951&t=WS1
1951,St. Louis Browns,52,102,.338,https://www.baseball-almanac.com/teamstats/roster.php?y=1951&t=SLA
1952,Statistic,Name(s),Team(s),#,
1952,Base on Balls,Eddie Yost,Washington,129,https://www.baseball-almanac.com/hitting/hiwalk4.shtml
1952,Batting Average,Ferris Fain,Philadelphia,.327,https://www.baseball-almanac.com/hitting/hibavg3.shtml
1952,Doubles,Ferris Fain,Philadelphia,43,https://www.baseball-almanac.com/hitting/hi2b3.shtml
1952,Hits,Nellie Fox,Chicago,192,https://www.baseball-almanac.com/hitting/hihits4.shtml
1952,Home Runs,Larry Doby,Cleveland,32,https://www.baseball-almanac.com/hitting/hihr5.shtml
1952,On Base Percentage,Ferris Fain,Philadelphia,.438,https://www.baseball-almanac.com/hitting/hiobp4.shtml
1952,RBI,Al Rosen,Cleveland,105,https://www.baseball-almanac.com/hitting/hirbi5.shtml
1952,Runs,Larry Doby,Cleveland,104,https://www.baseball-almanac.com/hitting/hiruns2.shtml
1952,Slugging Average,Larry Doby,Cleveland,.541,https://www.baseball-almanac.com/hitting/hislug4.shtml
1952,Stolen Bases,Minnie Minoso,Chicago,22,https://www.baseball-almanac.com/hitting/hisb4.shtml
1952,Total Bases,Al Rosen,Cleveland,297,https://www.baseball-almanac.com/hitting/hitotb4.shtml
1952,Triples,Bobby Avila,Cleveland,11,https://www.baseball-almanac.com/hitting/hitrip4.shtml
1952,Statistic,Name(s),Team(s),#,
1952,Statistic,Name(s),Team(s),#,
1952,Complete Games,Bob Lemon,Cleveland,28,https://www.baseball-almanac.com/pitching/picomg4.shtml
1952,ERA,Allie Reynolds,New York,2.06,https://www.baseball-almanac.com/pitching/piera4.shtml
1952,Games,Bill Kennedy,Chicago,47,https://www.baseball-almanac.com/pitching/pigamp4.shtml
1952,Saves,Harry Dorish,Chicago,11,https://www.baseball-almanac.com/pitching/pisave4.shtml
1952,Shutouts,Mike Garcia,Cleveland,6,https://www.baseball-almanac.com/pitching/pishut4.shtml
1952,Strikeouts,Allie Reynolds,New York,160,https://www.baseball-almanac.com/pitching/pistrik4.shtml
1952,Winning Percentage,Bobby Shantz,Philadelphia,.774,https://www.baseball-almanac.com/pitching/piwper4.shtml
1952,Wins,Bobby Shantz,Philadelphia,24,https://www.baseball-almanac.com/pitching/piwins4.shtml
1952,Statistic,Name(s),Team(s),#,
1952,Team [Click for roster],Wins,Losses,WP,
1952,New York Yankees,95,59,.617,https://www.baseball-almanac.com/teamstats/roster.php?y=1952&t=NYA
1952,Cleveland Indians,93,61,.604,https://www.baseball-almanac.com/teamstats/roster.php?y=1952&t=CLE
1952,Chicago White Sox,81,73,.526,https://www.baseball-almanac.com/teamstats/roster.php?y=1952&t=CHA
1952,Philadelphia Athletics,79,75,.513,https://www.baseball-almanac.com/teamstats/roster.php?y=1952&t=PHA
1952,Washington Senators,78,76,.506,https://www.baseball-almanac.com/teamstats/roster.php?y=1952&t=WS1
1952,Boston Red Sox,76,78,.494,https://www.baseball-almanac.com/teamstats/roster.php?y=1952&t=BOS
1952,St. Louis Browns,64,90,.416,https://www.baseball-almanac.com/teamstats/roster.php?y=1952&t=SLA
1952,Detroit Tigers,50,104,.325,https://www.baseball-almanac.com/teamstats/roster.php?y=1952&t=DET
1953,Statistic,Name(s),Team(s),#,
1953,Base on Balls,Eddie Yost,Washington,123,https://www.baseball-almanac.com/hitting/hiwalk4.shtml
1953,Batting Average,Mickey Vernon,Washington,.337,https://www.baseball-almanac.com/hitting/hibavg3.shtml
